date,open,high,low,close,volume
2015-10-09,26.53,26.64,26.41,26.6,654563
2015-10-12,26.67,26.81,26.55,26.71,746911
2015-10-13,26.44,26.77,26.39,26.41,384197
2015-10-14,26.21,26.37,25.98,26.01,477687
2015-10-15,26.59,27.0,26.55,26.99,776666
2015-10-16,27.15,27.19,26.85,27.18,770371
2015-10-19,27.35,27.45,27.17,27.43,796386
2015-10-20,27.25,27.34,27.1,27.23,563574
2015-10-21,28.39,28.47,28.07,28.1,1463536
2015-10-22,28.46,28.85,28.45,28.74,1493661
2015-10-23,28.6,28.95,28.29,28.8,1625294
2015-10-26,29.05,29.08,28.82,28.94,1271749
2015-10-27,28.45,28.64,28.27,28.6,776358
2015-10-28,28.68,29.05,28.53,28.97,951787
2015-10-29,28.16,28.25,27.33,28.1,1884942
2015-10-30,28.53,28.65,28.39,28.4,718611
2015-11-02,28.54,28.94,28.54,28.88,714303
2015-11-03,28.72,29.08,28.72,28.91,680354
2015-11-04,28.55,28.67,28.34,28.45,886891
2015-11-05,28.52,28.63,28.26,28.35,536734
2015-11-06,27.87,28.09,27.78,28.05,904252
2015-11-09,28.09,28.27,27.72,27.87,661815
2015-11-10,28.01,28.17,27.82,28.1,481811
2015-11-11,28.4,28.44,28.19,28.3,568198
2015-11-12,28.02,28.11,27.83,27.87,528767
2015-11-13,27.51,27.58,27.24,27.31,771357
2015-11-16,27.18,27.45,27.15,27.44,632610
2015-11-17,26.88,27.24,26.73,26.87,1470960
2015-11-18,26.84,27.02,26.75,26.99,935157
2015-11-19,26.9,27.03,26.8,26.86,567443
2015-11-20,26.91,27.01,26.82,26.89,520298
2015-11-23,26.8,27.04,26.75,26.79,645477
2015-11-24,26.86,27.04,26.67,26.96,674170
2015-11-25,26.47,26.58,26.46,26.51,626174
2015-11-27,26.57,26.74,26.46,26.49,212135
2015-11-30,25.95,26.04,25.83,25.92,883242
2015-12-01,26.2,26.36,26.15,26.2,603141
2015-12-02,25.69,25.7,25.33,25.4,2038767
2015-12-03,25.63,25.74,25.18,25.25,1751058
2015-12-04,25.11,25.41,25.07,25.39,1432054
2015-12-07,25.38,25.43,25.15,25.3,478857
2015-12-08,24.88,24.97,24.67,24.8,1280182
2015-12-09,24.67,24.68,24.17,24.36,1375519
2015-12-10,24.74,24.82,24.58,24.63,936464
2015-12-11,24.5,24.58,24.24,24.34,1308205
2015-12-14,24.48,24.77,24.27,24.65,1906122
2015-12-15,24.62,24.77,24.32,24.5,1973384
2015-12-16,24.85,25.29,24.77,25.24,2199270
2015-12-17,25.32,25.49,25.12,25.13,981860
2015-12-18,24.59,24.69,24.44,24.44,1159465
2015-12-21,24.29,24.42,23.97,24.35,1472103
2015-12-22,24.06,24.37,24.0,24.3,989585
2015-12-23,24.49,24.72,24.42,24.62,1130192
